Epoch,Loss_train,ECE_train,Loss_eval,ECE_eval
0,464.5880126953125,141.16004689782858,204.52349853515625,81.60123750194907
1,388.8863830566406,131.95386162027717,200.66387939453125,80.58363328129053
2,363.7987365722656,125.19641796499491,200.6569061279297,80.69706872478127
3,342.9101867675781,122.1366913355887,201.971435546875,78.11616239324212
4,322.85919189453125,118.15611538104713,203.85269165039062,79.36209923028946
5,302.3796081542969,113.01928443647921,214.4561004638672,77.27644338831306
6,287.0512390136719,109.30666096694767,218.81028747558594,78.6751944757998
7,272.2381896972656,106.08886303007603,226.2676239013672,78.31642932444811
8,253.62698364257812,101.95754856057465,232.649658203125,77.22347744554281
9,238.5840301513672,96.79841899685562,248.50482177734375,79.13259419053793
10,223.1888427734375,92.45011153630912,257.552001953125,79.06083309277892
11,211.06092834472656,88.54491786845028,267.9603576660156,80.34828836843371
12,197.563720703125,84.57734057120979,274.55206298828125,79.66302927210927
13,187.4390869140625,81.45676833949983,285.4849548339844,80.70342505723238
14,178.73086547851562,78.66452449187636,283.53814697265625,81.65351992845535
